C Mapping (NEW 2023),Categories (within the HOMER Curriculum),Majors,Minors,Topics,Skills (Scope and Sequence),US Start Age,US End Age,Temp Skill Code,Number,Standards (if relevant),"Tangible Candidate (i.e., skill well supported through physical products and/or learning with manipulatives)",Currently covered via tangible,Non-HOMER products/experiences,China start,China end,Partner products,Total Manuscripts,,FINAL SkillCode,,,,,,,,
Core,Knowledge,Math,Geometry,Working with Shapes,"Finds hidden shapes that are contextual (e.g., the window is a rectangle)",42,60,KMGeo17,17,,x,,,,,,,,KNO-Mat-geo-17,,,,,,,,
Core,Knowledge,Math,Geometry,Working with Shapes,Uses shape names to classify and sort ,60,84,KMGeo18,18,,x,,,,,,,,KNO-Mat-geo-18,,,,,,,,
Core,Knowledge,Math,Geometry,Working with Shapes,Identifies and counts sides of shapes ,60,84,KMGeo19,19,,x,,,,,,,,KNO-Mat-geo-19,,,,,,,,
Core,Knowledge,Math,Math Confidence,,Uses various mathematical tools and manipulatives to solve problems,24,96,KMMat1,1,,x,,,,,,,,KNO-Mat-mat-1,,,,,,,,
Core,Knowledge,Math,Math Confidence,,Uses informal math language to describe problem solving strategies,36,66,KMMat2,2,,x,,,,,,,,KNO-Mat-mat-2,,,,,,,,
Core,Knowledge,Math,Math Confidence,,Feels comfortable working with numbers,36,96,KMMat3,3,,x,,,,,,,,KNO-Mat-mat-3,,,,,,,,
Core,Knowledge,Math,Math Confidence,,Feels empowered to test out different problem solving strategies,36,96,KMMat4,4,,,,,,,,,,KNO-Mat-mat-4,,,,,,,,
Core,Knowledge,Math,Math Confidence,,Conceptual subitizing (quick and accurately tell how many without counting) up to 5 items,42,72,KMMat5,5,,x,,,,,,,,KNO-Mat-mat-5,,,,,,,,
Core,Knowledge,Math,Math Confidence,,Seeks out appropriate math tools to help solve problems,42,96,KMMat6,6,,x,,,,,,,,KNO-Mat-mat-6,,,,,,,,
Core,Knowledge,Math,Math Confidence,,Does not feel deterred when making a mistake,42,96,KMMat7,7,,x,,,,,,,,KNO-Mat-mat-7,,,,,,,,
Core,Knowledge,Math,Math Confidence,,Provides a back-up strategy for problem solving,48,78,KMMat8,8,,x,,,,,,,,KNO-Mat-mat-8,,,,,,,,
Core,Knowledge,Math,Math Confidence,,Sees connections between number combinations ,48,96,KMMat9,9,,x,,,,,,,,KNO-Mat-mat-9,,,,,,,,
Core,Knowledge,Math,Math Confidence,,Uses a ten frame to represent combinations of numbers that make ten,48,72,KMMat10,10,,x,,,,,,,,KNO-Mat-mat-10,,,,,,,,
Core,Knowledge,Math,Math Confidence,,Uses a number line to solve addition/ subtraction problems,54,72,KMMat11,11,,x,,,,,,,,KNO-Mat-mat-11,,,,,,,,
Core,Knowledge,Math,Math Confidence,,Connects a number line representation to quantity,54,72,KMMat12,12,,,,,,,,,,KNO-Mat-mat-12,,,,,,,,
Core,Knowledge,Math,Math Confidence,,Conceptual subitizing (quick and accurately tell how many without counting) up to 10 items,66,96,KMMat13,13,,x,,,,,,,,KNO-Mat-mat-13,,,,,,,,
Core,Knowledge,Math,Math Confidence,,"Uses understanding of number to guage whether a solution is practical (e.g., knows 15 + 18 has to be greater than 30)",66,96,KMMat14,14,,,,,,,,,,KNO-Mat-mat-14,,,,,,,,
Core,Knowledge,Math,Measurement,Comparing measurements,Compare the length of two objects,30,42,KMMea1,1,,x,,,,,,,,KNO-Mat-mea-1,,,,,,,,
Core,Knowledge,Math,Measurement,Comparing measurements,"Makes comparisons between objects based on a single attribute (e.g., “She has a bigger piece of pizza than I do”).",36,66,KMMea2,2,,x,,,,,,,,KNO-Mat-mea-2,,,,,,,,
Core,Knowledge,Math,Measurement,Comparing measurements,Compare the length of two objects by using a third (informal units of measurement) ,42,54,KMMea3,3,,x,,,,,,,,KNO-Mat-mea-3,,,,,,,,
Core,Knowledge,Math,Measurement,Estimating measurement,Makes informal comparisons and estimates (you're as tall as that book shelf),48,72,KMMea4,4,,x,,,,,,,,KNO-Mat-mea-4,,,,,,,,
Core,Knowledge,Math,Measurement,Informal measurement,Fills and empties containers,18,28,KMMea5,5,,x,,,,,,,,KNO-Mat-mea-5,,,,,,,,
Core,Knowledge,Math,Measurement,Informal measurement,Informally recognizes area as filling 2D space (I need more paper to cover this table),24,42,KMMea6,6,,x,,,,,,,,KNO-Mat-mea-6,,,,,,,,
Core,Knowledge,Math,Measurement,Informal measurement,Informally combine objects in a linear context (line up),24,36,KMMea7,7,,x,,,,,,,,KNO-Mat-mea-7,,,,,,,,
Core,Knowledge,Math,Measurement,Informal measurement,Knows that different sized containers will hold more or less,24,48,KMMea8,8,,x,,,,,,,,KNO-Mat-mea-8,,,,,,,,
Core,Knowledge,Math,Measurement,Informal measurement,"Recognizes and informally discusses attributes (big, small, tall, short, heavy, light)",24,60,KMMea9,9,,x,,,,,,,,KNO-Mat-mea-9,,,,,,,,
Core,Knowledge,Math,Measurement,Informal measurement,"Informally describes properties of building blocks, such as why certain blocks stack well and others don't ",42,60,KMMea10,10,,x,,,,,,,,KNO-Mat-mea-10,,,,,,,,
Core,Knowledge,Math,Measurement,Length,Compares length directly,36,60,KMMea11,11,,x,,,,,,,,KNO-Mat-mea-11,,,,,,,,
Core,Knowledge,Math,Measurement,Length,Compares length transitively (using a unit of measure for both and comparing the units) ,54,66,KMMea12,12,,x,,,,,,,,KNO-Mat-mea-12,,,,,,,,
Core,Knowledge,Math,Measurement,Length,Add two lengths to obtain total length,60,72,KMMea13,13,,x,,,,,,,,KNO-Mat-mea-13,,,,,,,,
Core,Knowledge,Math,Measurement,Ordering,"Orders objects from smallest to largest and describes relations (e.g., tall, taller, tallest).",42,66,KMMea14,14,,x,,,,,,,,KNO-Mat-mea-14,,,,,,,,
Core,Knowledge,Math,Measurement,Time,"Informal sense of time based on daily activities. Knows daily time terms/concepts like “morning,” “afternoon,” “night,” “earlier,” “later,” and “soon.” ",18,54,KMMea15,15,,x,,,,,,,,KNO-Mat-mea-15,,,,,,,,
Core,Knowledge,Math,Measurement,Time,Identifies concepts associated with time of day and seasons,18,54,KMMea16,16,,x,,,,,,,,KNO-Mat-mea-16,,,,,,,,
Core,Knowledge,Math,Measurement,Time,"Recites days of the week and seasons. Knows that certain things happen at certain times of the day (e.g., soccer practice is at 5:30).",42,66,KMMea17,17,,,,,,,,,,KNO-Mat-mea-17,,,,,,,,
Core,Knowledge,Math,Measurement,,Believes a snack divided into many pieces has more than the full snack (conservation) ,12,24,KMMea18,18,,x,,,,,,,,KNO-Mat-mea-18,,,,,,,,
Core,Knowledge,Math,Numbers and Operations,Addition/Subtraction,"Understands that the part(s) must be less than the whole in addition problems, and the difference is less than the total in subtraction problems",54,72,KMNum1,1,,x,,,,,,,,KNO-Mat-num-1,,,,,,,,
Core,Knowledge,Math,Numbers and Operations,Addition/Subtraction Strategies,Uses various strategies to solve addition and subtraction problems,48,84,KMNum2,2,,x,,,,,,,,KNO-Mat-num-2,,,,,,,,
Core,Knowledge,Math,Numbers and Operations,Addition/Subtraction Strategies,"Uses derived facts to solve addition problems (e.g., I know 5 + 5 is 10, so 5 + 7, 7 is 2 more) ",54,112,KMNum3,3,,,,,,,,,,KNO-Mat-num-3,,,,,,,,
Core,Knowledge,Math,Numbers and Operations,Addition/Subtraction Strategies,Uses the number after rule to solve n + 1 problems up to 10,54,84,KMNum4,4,,x,,,,,,,,KNO-Mat-num-4,,,,,,,,
Core,Knowledge,Math,Numbers and Operations,Addition/Subtraction Strategies,Uses count-on strategy to solve addition of sets up to 10 ,60,84,KMNum5,5,,x,,,,,,,,KNO-Mat-num-5,,,,,,,,
Core,Knowledge,Math,Numbers and Operations,Addition/Subtraction Strategies,Uses the zero principle to solve problems,60,96,KMNum6,6,,x,,,,,,,,KNO-Mat-num-6,,,,,,,,
Core,Knowledge,Math,Numbers and Operations,Addition/Subtraction Strategies,Uses the doubles strategy to solve problems,60,96,KMNum7,7,,,,,,,,,,KNO-Mat-num-7,,,,,,,,
Core,Knowledge,Math,Numbers and Operations,Addition/Subtraction Strategies,Uses count-down strategy to solve subtraction of sets up to 10,66,84,KMNum8,8,,,,,,,,,,KNO-Mat-num-8,,,,,,,,
Core,Knowledge,Math,Numbers and Operations,Addition/Subtraction Strategies,Demonstrates master of number combinations up to 10,72,112,KMNum9,9,,,,,,,,,,KNO-Mat-num-9,,,,,,,,
Core,Knowledge,Math,Numbers and Operations,Comparing and Equivalence,Uses the size word “many” and “same (number) as” appropriately.,36,60,KMNum10,10,,,,,,,,,,KNO-Mat-num-10,,,,,,,,
Core,Knowledge,Math,Numbers and Operations,Comparing and Equivalence,Uses the size word “more” appropriately to identify the larger of two obviously different-sized collections (comparative meaning of “more’),36,48,KMNum11,11,,,,,,,,,,KNO-Mat-num-11,,,,,,,,
Core,Knowledge,Math,Numbers and Operations,Comparing and Equivalence,Uses the size word “fewer” appropriately to identify the smaller of two obviously different-sized collections.,36,48,KMNum12,12,,,,,,,,,,KNO-Mat-num-12,,,,,,,,
Core,Knowledge,Math,Numbers and Operations,Comparing and equivalence,Estimate to compare sets ,36,72,KMNum13,13,,x,,,,,,,,KNO-Mat-num-13,,,,,,,,
Core,Knowledge,Math,Numbers and Operations,Comparing and equivalence,Use counting to compare sets,42,72,KMNum14,14,,x,,,,,,,,KNO-Mat-num-14,,,,,,,,
Core,Knowledge,Math,Numbers and Operations,Comparing and Equivalence,Understands larger number principle (that numbers later in the count sequence represent 'more') on numbers grossly different up to 10,42,60,KMNum15,15,,,,,,,,,,KNO-Mat-num-15,,,,,,,,
Core,Knowledge,Math,Numbers and Operations,Comparing and Equivalence,Understands larger number principle on numbers close together (9 vs. 8) on numbers up to 10,42,60,KMNum16,16,,,,,,,,,,KNO-Mat-num-16,,,,,,,,
Core,Knowledge,Math,Numbers and Operations,Comparing and Equivalence,Use one-to-one correspondence to compare sets,42,72,KMNum17,17,,x,,,,,,,,KNO-Mat-num-17,,,,,,,,
Core,Knowledge,Math,Numbers and Operations,Comparing and Equivalence,Use a graph to compare numbers,42,96,KMNum18,18,,,,,,,,,,KNO-Mat-num-18,,,,,,,,
Core,Knowledge,Math,Numbers and Operations,Comparing and Equivalence,Determines if sets are 'fair' ,42,66,KMNum19,19,,x,,,,,,,,KNO-Mat-num-19,,,,,,,,
Core,Knowledge,Math,Numbers and Operations,Comparing and Equivalence,Determines if sets are 'even',42,66,KMNum20,20,,x,,,,,,,,KNO-Mat-num-20,,,,,,,,
Core,Knowledge,Math,Numbers and Operations,Comparing and Equivalence,Determines if sets are 'equal',42,66,KMNum21,21,,x,,,,,,,,KNO-Mat-num-21,,,,,,,,
Core,Knowledge,Math,Numbers and Operations,Comparing and Equivalence,Understands larger number principle (that numbers later in the count sequence represent 'more') on numbers grossly different up to 100,48,60,KMNum22,22,,,,,,,,,,KNO-Mat-num-22,,,,,,,,
Core,Knowledge,Math,Numbers and Operations,Comparing and Equivalence,Understands larger number principle on numbers close together (9 vs. 8) on numbers up to 100,48,72,KMNum23,23,,,,,,,,,,KNO-Mat-num-23,,,,,,,,
Core,Knowledge,Math,Numbers and Operations,Comparing and Equivalence,Uses number sense to gauge relative proximity of one digit numbers,48,96,KMNum24,24,,,,,,,,,,KNO-Mat-num-24,,,,,,,,
Core,Knowledge,Math,Numbers and Operations,Comparing and Equivalence,Knows that fair shares have the same number,48,66,KMNum25,25,,x,,,,,,,,KNO-Mat-num-25,,,,,,,,
Core,Knowledge,Math,Numbers and Operations,Comparing and Equivalence,"Uses formal relational terms such as “greater than,” “less than,” and “equal to.”",50,96,KMNum26,26,,x,,,,,,,,KNO-Mat-num-26,,,,,,,,
Core,Knowledge,Math,Numbers and Operations,Comparing and equivalence,Use understanding of tens and ones to compare sets,54,96,KMNum27,27,,,,,,,,,,KNO-Mat-num-27,,,,,,,,
Core,Knowledge,Math,Numbers and Operations,Composing and Decomposing Numbers,Can use informal strategies to divide 6 items 2 ways ,36,72,KMNum28,28,,x,,,,,,,,KNO-Mat-num-28,,,,,,,,
Core,Knowledge,Math,Numbers and Operations,Composing and Decomposing Numbers,Can use one to one correspondence to divvy up items (pass out 4 cookies to 4 friends),36,96,KMNum29,29,,x,,,,,,,,KNO-Mat-num-29,,,,,,,,
Core,Knowledge,Math,Numbers and Operations,Composing and Decomposing Numbers,"Uses informal math language to describe fair-sharing problems (e.g., this friend gets 3 whole cookies and 3 little pieces)",36,72,KMNum30,30,,x,,,,,,,,KNO-Mat-num-30,,,,,,,,
Core,Knowledge,Math,Numbers and Operations,Composing and Decomposing Numbers,Can use informal strategies to divide many to one (6 cookies to 2 friends) ,42,96,KMNum31,31,,x,,,,,,,,KNO-Mat-num-31,,,,,,,,
Core,Knowledge,Math,Numbers and Operations,Composing and Decomposing Numbers,Can use informal strategies to divide many to one with a remainder (7 cookies to 2 friends),48,96,KMNum32,32,,x,,,,,,,,KNO-Mat-num-32,,,,,,,,
Core,Knowledge,Math,Numbers and Operations,Composing and Decomposing Numbers,Can use informal strategies to divide continuous quantities (1 rope for 2 friends),48,96,KMNum33,33,,x,,,,,,,,KNO-Mat-num-33,,,,,,,,
Core,Knowledge,Math,Numbers and Operations,Composing and Decomposing Numbers,"Can pass things out evenly when the sets correspond (e.g., 5 candies to 5 friends) ",,,KMNum34,34,,x,,,,,,,,KNO-Mat-num-34,,,,,,,,
Core,Knowledge,Math,Numbers and Operations,Counting,Uses a few number words without understanding quantity (reciting a simple number rhyme),18,30,KMNum35,35,,,,,,,,,,KNO-Mat-num-35,,,,,,,,
Core,Knowledge,Math,Numbers and Operations,Counting,"Understands the words one and two (knows they are 2 years old, can identify pairs as 2, can give one or two things when asked) ",18,36,KMNum36,36,,x,,,,,,,,KNO-Mat-num-36,,,,,,,,
Core,Knowledge,Math,Numbers and Operations,Counting,"1 knower: Understands the word ""one""",18,30,KMNum37,37,,x,,,,,,,,KNO-Mat-num-37,,,,,,,,
Core,Knowledge,Math,Numbers and Operations,Counting,1 knower: can distinguish one from many,18,30,KMNum38,38,,x,,,,,,,,KNO-Mat-num-38,,,,,,,,
Core,Knowledge,Math,Numbers and Operations,Counting,"1 knower: Can identify different collections of items as ""one""",18,30,KMNum39,39,,x,,,,,,,,KNO-Mat-num-39,,,,,,,,
Core,Knowledge,Math,Numbers and Operations,Counting,"1 knower: Asks for ""one"" of something",18,30,KMNum40,40,,x,,,,,,,,KNO-Mat-num-40,,,,,,,,
Core,Knowledge,Math,Numbers and Operations,Counting,1 knower: knows they are 1 year old,18,30,KMNum41,41,,,,,,,,,,KNO-Mat-num-41,,,,,,,,
Core,Knowledge,Math,Numbers and Operations,Counting,1 knower: can bring 1 item on request,18,30,KMNum42,42,,x,,,,,,,,KNO-Mat-num-42,,,,,,,,
Core,Knowledge,Math,Numbers and Operations,Counting,"3 knower: Understands the words one, two, and three",24,42,KMNum43,43,,,,,,,,,,KNO-Mat-num-43,,,,,,,,
Core,Knowledge,Math,Numbers and Operations,Counting,"3 knower: can distinguish one, two, and three from many",24,42,KMNum44,44,,x,,,,,,,,KNO-Mat-num-44,,,,,,,,
Core,Knowledge,Math,Numbers and Operations,Counting,"3 knower: Can identify different collections of items as ""one"" ""two"" or ""three""",24,42,KMNum45,45,,x,,,,,,,,KNO-Mat-num-45,,,,,,,,
Core,Knowledge,Math,Numbers and Operations,Counting,"3 knower: Asks for ""one, ""two"", or ""three"" of something",24,42,KMNum46,46,,x,,,,,,,,KNO-Mat-num-46,,,,,,,,
Core,Knowledge,Math,Numbers and Operations,Counting,3 knower: knows they are 3 (or 1 or 2) years old,24,42,KMNum47,47,,,,,,,,,,KNO-Mat-num-47,,,,,,,,
Core,Knowledge,Math,Numbers and Operations,Counting,"3 knower: can bring 1, 2, or 3 items on request",24,42,KMNum48,48,,x,,,,,,,,KNO-Mat-num-48,,,,,,,,
Core,Knowledge,Math,Numbers and Operations,Counting,2 knower: Understands the words one and two ,24,40,KMNum49,49,,,,,,,,,,KNO-Mat-num-49,,,,,,,,
Core,Knowledge,Math,Numbers and Operations,Counting,2 knower: can distinguish one and two from many,24,40,KMNum50,50,,x,,,,,,,,KNO-Mat-num-50,,,,,,,,
Core,Knowledge,Math,Numbers and Operations,Counting,"2 knower: Can identify different collections of items as ""one"" or ""two""",24,40,KMNum51,51,,x,,,,,,,,KNO-Mat-num-51,,,,,,,,
Core,Knowledge,Math,Numbers and Operations,Counting,"2 knower: Asks for ""one or ""two"" of something",24,40,KMNum52,52,,x,,,,,,,,KNO-Mat-num-52,,,,,,,,
Core,Knowledge,Math,Numbers and Operations,Counting,2 knower: knows they are 2 years old,24,40,KMNum53,53,,,,,,,,,,KNO-Mat-num-53,,,,,,,,
Core,Knowledge,Math,Numbers and Operations,Counting,2 knower: can bring 1 or 2 items on request,24,40,KMNum54,54,,x,,,,,,,,KNO-Mat-num-54,,,,,,,,
Core,Knowledge,Math,Numbers and Operations,Counting,"Can verbally count ""one, two, three"" (and sometimes beyond but not necessarily in the correct order).",24,36,KMNum55,55,,x,,,,,,,,KNO-Mat-num-55,,,,,,,,
Core,Knowledge,Math,Numbers and Operations,Counting,Recites count sequence to 5,24,48,KMNum56,56,,,,,,,,,,KNO-Mat-num-56,,,,,,,,
Core,Knowledge,Math,Numbers and Operations,Counting,"Understands the number words up to ""four”—can distinguish one to four from many; can identify different collections of four items as “four”; can mentally represent and reproduce a collection of four; or put out up to four items on request",30,60,KMNum57,57,,x,,,,,,,,KNO-Mat-num-57,,,,,,,,
Core,Knowledge,Math,Numbers and Operations,Counting,Recites the count sequence to “ten” (and sometimes beyond but not necessarily in the correct order),30,48,KMNum58,58,,,,,,,,,,KNO-Mat-num-58,,,,,,,,
Core,Knowledge,Math,Numbers and Operations,Counting,States the number before 1-10,36,60,KMNum59,59,,,,,,,,,,KNO-Mat-num-59,,,,,,,,
Core,Knowledge,Math,Numbers and Operations,Counting,Recites count sequence to 20 (understands the teen pattern) ,42,50,KMNum60,60,,,,,,,,,,KNO-Mat-num-60,,,,,,,,
Core,Knowledge,Math,Numbers and Operations,Counting,Verbally counts backwards from 10,42,60,KMNum61,61,,,,,,,,,,KNO-Mat-num-61,,,,,,,,
Core,Knowledge,Math,Numbers and Operations,Counting,"States the number after 1-9 with a running start (what comes after 1, 2, 3, etc)",42,60,KMNum62,62,,,,,,,,,,KNO-Mat-num-62,,,,,,,,
Core,Knowledge,Math,Numbers and Operations,Counting,States the number before 11-29,42,66,KMNum63,63,,,,,,,,,,KNO-Mat-num-63,,,,,,,,
Core,Knowledge,Math,Numbers and Operations,Counting,Count by ones from a number other than one,48,,KMNum64,64,,,,,,,,,,KNO-Mat-num-64,,,,,,,,
Core,Knowledge,Math,Numbers and Operations,Counting,States the number after 1-9 without a running start ,48,60,KMNum65,65,,,,,,,,,,KNO-Mat-num-65,,,,,,,,
Core,Knowledge,Math,Numbers and Operations,Counting,Uses repeated patterns to recite count sequence to 50,54,66,KMNum66,66,,,,,,,,,,KNO-Mat-num-66,,,,,,,,
Core,Knowledge,Math,Numbers and Operations,Counting,States the number after 10-29,54,60,KMNum67,67,,,,,,,,,,KNO-Mat-num-67,,,,,,,,
Core,Knowledge,Math,Numbers and Operations,Counting,"Count by other intervals (2s, 5s, 10s) to 100",60,,KMNum68,68,,,,,,,,,,KNO-Mat-num-68,,,,,,,,
Core,Knowledge,Math,Numbers and Operations,Counting,Uses repeated patterns to recite count sequence to 100 ,60,72,KMNum69,69,,,,,,,,,,KNO-Mat-num-69,,,,,,,,
Core,Knowledge,Math,Numbers and Operations,Counting,Uses repeated patterns to recite count sequence to 1000,72,96,KMNum70,70,,,,,,,,,,KNO-Mat-num-70,,,,,,,,
Core,Knowledge,Math,Numbers and Operations,Counting,Understand that each successive number refers to a quantity that is one larger,,,KMNum71,71,,,,,,,,,,KNO-Mat-num-71,,,,,,,,
Core,Knowledge,Math,Numbers and Operations,Enumeration,Understands that quantities can be represented and counted,30,48,KMNum72,72,,,,,,,,,,KNO-Mat-num-72,,,,,,,,
Core,Knowledge,Math,Numbers and Operations,Enumeration,Enumerate up to 5 objects,36,48,KMNum73,73,,x,,,,,,,,KNO-Mat-num-73,,,,,,,,
Core,Knowledge,Math,Numbers and Operations,Enumeration,"Uses appropriate counting strategies (pointing, lining things up, moving things over, grouping)",36,72,KMNum74,74,,x,,,,,,,,KNO-Mat-num-74,,,,,,,,
Core,Knowledge,Math,Numbers and Operations,Enumeration,Enumerate up to 10 objects,42,60,KMNum75,75,,x,,,,,,,,KNO-Mat-num-75,,,,,,,,
Core,Knowledge,Math,Numbers and Operations,Enumeration,"Understands the cardinality principle, that the last number when counting a set represents the whole set",42,60,KMNum76,76,,x,,,,,,,,KNO-Mat-sym-2,,,,,,,,
Core,Knowledge,Math,Numbers and Operations,Enumeration,Enumerate up to 20 objects,54,66,KMNum77,77,,x,,,,,,,,KNO-Mat-num-77,,,,,,,,
Core,Knowledge,Math,Numbers and Operations,Enumeration,Enumerate 20+ objects,60,72,KMNum78,78,,x,,,,,,,,KNO-Mat-num-78,,,,,,,,
Core,Knowledge,Math,Numbers and Operations,Estimation,Can make reasonable estimates of quantities up to 20,48,60,KMNum79,79,,x,,,,,,,,KNO-Mat-num-79,,,,,,,,
Core,Knowledge,Math,Numbers and Operations,Estimation,Can make reasonable estimates of quantities up to 100,60,96,KMNum80,80,,x,,,,,,,,KNO-Mat-num-80,,,,,,,,
Core,Knowledge,Math,Numbers and Operations,Fractions,Uses and understands the term 'half' ,36,66,KMNum81,81,,,,,,,,,,KNO-Mat-num-81,,,,,,,,
Core,Knowledge,Math,Numbers and Operations,Informal addition/subtraction,"Without seeing the outcome, recognizes that one item added to another makes two and that one item subtracted from two makes one.",30,48,KMNum82,82,,,,,,,,,,KNO-Mat-num-82,,,,,,,,
Core,Knowledge,Math,Numbers and Operations,Informal addition/subtraction,Understands that adding to a quantity makes more and subtracting/ taking away makes less,36,48,KMNum83,83,,x,,,,,,,,KNO-Mat-num-83,,,,,,,,
Core,Knowledge,Math,Numbers and Operations,Informal addition/subtraction,Uses count-all strategy to solve addition and subtraction word problems of sets up to 5,42,60,KMNum84,84,,,,,,,,,,KNO-Mat-num-84,,,,,,,,
Core,Knowledge,Math,Numbers and Operations,Informal addition/subtraction,Uses count-all strategy to solve addition and subtraction word problems of sets up to 10,48,66,KMNum85,85,,,,,,,,,,KNO-Mat-num-85,,,,,,,,
Core,Knowledge,Math,Numbers and Operations,Number words,Read number words one-ten,66,96,KMNum86,86,,x,,,,,,,,KNO-Mat-num-86,,,,,,,,
Core,Knowledge,Math,Numbers and Operations,Number words,Write number words one-ten,66,96,KMNum87,87,,x,,,,,,,,KNO-Mat-num-87,,,,,,,,
Core,Knowledge,Math,Numbers and Operations,Numerals,Recognizes or reads one-digit numerals 0 to 9 ,36,60,KMNum88,88,,x,,,,,,,,KNO-Mat-num-88,,,,,,,,
Core,Knowledge,Math,Numbers and Operations,Numerals,Copies or writes numerals 0-9,42,66,KMNum89,89,,x,,,,,,,,KNO-Mat-num-89,,,,,,,,
Core,Knowledge,Math,Numbers and Operations,Numerals,Identify numerals 0-10,48,66,KMNum90,90,,x,,,,,,,,KNO-Mat-num-90,,,,,,,,
Core,Knowledge,Math,Numbers and Operations,Numerals,Identify numerals 10+ ,48,72,KMNum91,91,,x,,,,,,,,KNO-Mat-num-91,,,,,,,,
Core,Knowledge,Math,Numbers and Operations,Numerals,Write numerals 0-10,48,72,KMNum92,92,,x,,,,,,,,KNO-Mat-num-92,,,,,,,,
Core,Knowledge,Math,Numbers and Operations,Numerals,Represent a number of objects with a written numeral,48,60,KMNum93,93,,x,,,,,,,,KNO-Mat-num-93,,,,,,,,
Core,Knowledge,Math,Numbers and Operations,Numerals,Write numerals 10+,54,96,KMNum94,94,,x,,,,,,,,KNO-Mat-num-94,,,,,,,,
Core,Knowledge,Math,Numbers and Operations,Ordinal numbers,"Understand before, after, next, last",36,54,KMNum95,95,,,,,,,,,,KNO-Mat-num-95,,,,,,,,
Core,Knowledge,Math,Numbers and Operations,Ordinal numbers,"Identify and use ordinal terms ""first""  ""last"" and ""next""",36,60,KMNum96,96,,,,,,,,,,KNO-Mat-num-96,,,,,,,,
